#{"t_start": 1762023875.3610036, "env_id": "None"}
r,l,t
148.061075,414,6.343406
-139.263258,1150,9.334119
-33.628569,2017,13.911507
-89.350665,1098,16.620769
35.890186,2394,21.664804
-139.085886,1341,24.874478
-138.780409,509,26.398705
122.725501,418,27.73145
-66.166948,2185,43.120495
-129.20604,966,45.595709
-29.031183,1869,49.739305
143.237076,409,51.08145
9.900946,2126,55.656303
-104.630154,1760,59.678504
140.815669,340,60.909404
-78.33738,1263,64.054306
135.897995,340,66.579256
-49.386243,1578,96.54395
42.193659,2700,112.241367
-138.854626,1052,119.365186
-89.158685,1671,129.419347
135.763992,414,132.367009
-113.795866,1082,139.145278
-84.378077,1756,149.586744
65.929298,1616,176.73837
165.775405,340,178.236651
-64.179163,1724,182.761395
195.785608,340,184.035687
21.279952,2338,190.05
-104.511893,2358,203.24317
135.867544,340,205.731662
-119.647518,1264,212.836818
-118.262055,810,218.001484
-119.503456,1125,224.652973
-113.7576,1165,254.138792
123.000957,340,255.916721
-93.612139,2095,261.894537
135.761872,414,263.495489
122.866019,340,264.851619
137.594336,414,266.542012
165.904661,340,267.934419
-80.884915,1930,272.318671
-105.424757,939,276.661729
-110.321592,1209,282.674711
-58.007516,1059,290.101287
-126.663766,614,297.857797
135.829943,340,330.089397
-79.876759,1130,342.111516
-122.35612,1307,355.596096
-94.897212,1006,366.961889
192.18453,1297,381.259617
128.85838,1340,396.50954
119.168996,1264,410.016937
-115.920683,1277,424.554755
258.996633,1710,441.595467
195.774925,340,466.736063
-129.533335,878,474.493924
-138.684611,1943,485.241857
123.421002,340,487.72644
128.818526,2034,504.423304
235.535007,2195,522.522199
127.489443,797,529.808707
-84.913005,1517,543.068461
20.691449,1960,575.832047
127.87339,424,578.851838
-90.008215,1230,589.621604
109.142558,1186,599.998325
-139.504598,1452,613.779755
-106.198669,976,622.8757
-117.135507,792,630.856497
135.760479,340,633.720367
-116.918858,1111,644.086525
-78.818654,1010,653.446476
142.584616,437,657.038787
135.77245,340,659.930772
140.836017,340,662.54785
135.911333,340,689.586791
120.167437,693,696.462638
-55.630458,1705,712.174869
84.521108,1927,730.06234
182.788404,732,737.245297
-86.862314,891,745.65083
143.031665,1119,755.375317
-95.509552,971,764.616573
-94.536047,1568,778.339346
188.951226,1496,808.061889
-54.591559,1405,811.328748
-127.163147,487,813.316187
-109.434582,951,816.570368
265.394097,962,820.241284
-59.101294,897,822.365229
155.849912,340,823.553277
4.207022,1507,828.324353
-74.929621,861,831.41157
139.212506,773,834.41916
161.232647,1200,836.986502
-118.817086,1217,847.61117
135.8882,340,848.97014
123.645677,414,850.315388
