#{"t_start": 1762045015.692477, "env_id": "None"}
r,l,t
155.804248,414,2.900108
-148.951021,1459,6.476172
-209.546573,1530,10.4876
-130.950678,1778,14.763514
-117.547371,1846,18.896257
123.503268,414,20.272484
-87.980035,1542,23.84295
-141.153834,1799,28.416393
-198.448279,2401,44.425349
-197.4506,1706,47.868727
-148.508326,1979,51.735415
79.289362,1768,57.391915
-77.810841,2139,69.34248
-185.316061,1124,96.542656
-188.720159,1444,99.950949
-184.823081,931,102.492215
-148.52739,2083,106.723277
-185.951341,892,109.008365
-209.372694,927,111.216125
